filename,session,subject,emotion
session_1_hql_eeg_data_5_10.csv,1,hql,2
session_1_zjy_eeg_data_15_27.csv,1,zjy,2
session_1_mhw_eeg_data_16_4.csv,1,mhw,3
session_1_whh_eeg_data_19_11.csv,1,whh,3
session_1_qyt_eeg_data_4_21.csv,1,qyt,0
session_1_qyt_eeg_data_3_28.csv,1,qyt,3
session_1_mhw_eeg_data_9_10.csv,1,mhw,0
session_1_wll_eeg_data_1_6.csv,1,wll,1
session_1_zjy_eeg_data_4_27.csv,1,zjy,0
session_1_hql_eeg_data_2_19.csv,1,hql,2
session_1_whh_eeg_data_10_35.csv,1,whh,1
session_1_wq_eeg_data_24_7.csv,1,wq,3
session_1_tyc_eeg_data_14_13.csv,1,tyc,1
session_1_ha_eeg_data_16_13.csv,1,ha,3
session_1_whh_eeg_data_10_21.csv,1,whh,1
session_1_qyt_eeg_data_13_5.csv,1,qyt,1
session_1_mhw_eeg_data_7_29.csv,1,mhw,0
session_1_cz_eeg_data_5_17.csv,1,cz,2
session_1_wll_eeg_data_18_12.csv,1,wll,2
session_1_ly_eeg_data_5_1.csv,1,ly,2
session_1_zjy_eeg_data_15_33.csv,1,zjy,2
session_1_ly_eeg_data_22_5.csv,1,ly,3
session_1_zjy_eeg_data_13_3.csv,1,zjy,1
session_1_ldy_eeg_data_17_7.csv,1,ldy,2
session_1_ldy_eeg_data_4_4.csv,1,ldy,0
session_1_wll_eeg_data_16_17.csv,1,wll,3
session_1_mhw_eeg_data_3_6.csv,1,mhw,3
session_1_hql_eeg_data_22_10.csv,1,hql,3
session_1_zjy_eeg_data_3_12.csv,1,zjy,3
session_1_tyc_eeg_data_13_32.csv,1,tyc,1
session_1_ha_eeg_data_18_16.csv,1,ha,2
session_1_zjy_eeg_data_12_12.csv,1,zjy,1
session_1_hql_eeg_data_10_2.csv,1,hql,1
session_1_whh_eeg_data_7_1.csv,1,whh,0
session_1_qyt_eeg_data_22_13.csv,1,qyt,3
session_1_qyt_eeg_data_3_14.csv,1,qyt,3
session_1_hql_eeg_data_7_6.csv,1,hql,0
session_1_mhw_eeg_data_7_15.csv,1,mhw,0
session_1_cz_eeg_data_10_5.csv,1,cz,1
session_1_cz_eeg_data_2_22.csv,1,cz,2
session_1_mz_eeg_data_18_8.csv,1,mz,2
session_1_mz_eeg_data_22_23.csv,1,mz,3
session_1_mz_eeg_data_9_0.csv,1,mz,0
session_1_whh_eeg_data_17_14.csv,1,whh,2
session_1_tyc_eeg_data_13_26.csv,1,tyc,1
session_1_rx_eeg_data_19_18.csv,1,rx,3
session_1_ly_eeg_data_19_3.csv,1,ly,3
session_1_wq_eeg_data_14_26.csv,1,wq,1
session_1_ldy_eeg_data_15_28.csv,1,ldy,2
session_1_zjd_eeg_data_22_26.csv,1,zjd,3
session_1_cz_eeg_data_19_13.csv,1,cz,3
session_1_ldy_eeg_data_19_8.csv,1,ldy,3
session_1_cz_eeg_data_10_37.csv,1,cz,1
session_1_ldy_eeg_data_12_21.csv,1,ldy,1
session_1_mhw_eeg_data_10_26.csv,1,mhw,1
session_1_rx_eeg_data_10_28.csv,1,rx,1
session_1_mhw_eeg_data_10_32.csv,1,mhw,1
session_1_zjd_eeg_data_9_17.csv,1,zjd,0
session_1_rx_eeg_data_8_46.csv,1,rx,1
session_1_zjy_eeg_data_5_6.csv,1,zjy,2
session_1_cz_eeg_data_10_23.csv,1,cz,1
session_1_tyc_eeg_data_4_16.csv,1,tyc,0
session_1_ha_eeg_data_24_8.csv,1,ha,3
session_1_zjd_eeg_data_16_3.csv,1,zjd,3
session_1_mz_eeg_data_7_16.csv,1,mz,0
session_1_wq_eeg_data_14_32.csv,1,wq,1
session_1_ha_eeg_data_11_1.csv,1,ha,2
session_1_mhw_eeg_data_19_16.csv,1,mhw,3
session_1_whh_eeg_data_22_8.csv,1,whh,3
session_1_rx_eeg_data_19_24.csv,1,rx,3
session_1_mhw_eeg_data_17_13.csv,1,mhw,2
session_1_mz_eeg_data_9_13.csv,1,mz,0
session_1_ldy_eeg_data_15_14.csv,1,ldy,2
session_1_whh_eeg_data_17_1.csv,1,whh,2
session_1_wq_eeg_data_13_13.csv,1,wq,1
session_1_rx_eeg_data_12_2.csv,1,rx,1
session_1_zjd_eeg_data_7_12.csv,1,zjd,0
session_1_cz_eeg_data_6_3.csv,1,cz,0
session_1_hql_eeg_data_9_9.csv,1,hql,0
session_1_qyt_eeg_data_5_7.csv,1,qyt,2
session_1_mz_eeg_data_16_7.csv,1,mz,3
session_1_wll_eeg_data_21_3.csv,1,wll,0
session_1_tyc_eeg_data_3_37.csv,1,tyc,3
session_1_tyc_eeg_data_3_23.csv,1,tyc,3
session_1_ly_eeg_data_22_26.csv,1,ly,3
session_1_rx_eeg_data_10_14.csv,1,rx,1
session_1_rx_eeg_data_19_30.csv,1,rx,3
session_1_wll_eeg_data_3_41.csv,1,wll,3
session_1_zjd_eeg_data_14_33.csv,1,zjd,1
session_1_cz_eeg_data_8_43.csv,1,cz,1
session_1_wll_eeg_data_15_46.csv,1,wll,2
session_1_wll_eeg_data_3_4.csv,1,wll,3
session_1_ly_eeg_data_8_10.csv,1,ly,1
session_1_ldy_eeg_data_6_36.csv,1,ldy,0
session_1_hql_eeg_data_8_50.csv,1,hql,1
session_1_rx_eeg_data_21_20.csv,1,rx,0
session_1_tyc_eeg_data_8_2.csv,1,tyc,1
session_1_wq_eeg_data_3_21.csv,1,wq,3
session_1_ly_eeg_data_13_12.csv,1,ly,1
session_1_wq_eeg_data_4_28.csv,1,wq,0
session_1_ly_eeg_data_1_34.csv,1,ly,1
session_1_mhw_eeg_data_14_6.csv,1,mhw,1
session_1_ly_eeg_data_1_20.csv,1,ly,1
session_1_ldy_eeg_data_15_5.csv,1,ldy,2
session_1_ly_eeg_data_20_7.csv,1,ly,3
session_1_zjy_eeg_data_11_1.csv,1,zjy,2
session_1_ly_eeg_data_7_3.csv,1,ly,0
session_1_ldy_eeg_data_24_20.csv,1,ldy,3
session_1_zjy_eeg_data_24_8.csv,1,zjy,3
session_1_ldy_eeg_data_6_22.csv,1,ldy,0
session_1_hql_eeg_data_8_44.csv,1,hql,1
session_1_ldy_eeg_data_23_29.csv,1,ldy,0
session_1_wq_eeg_data_3_35.csv,1,wq,3
session_1_qyt_eeg_data_11_7.csv,1,qyt,2
session_1_wll_eeg_data_15_52.csv,1,wll,2
session_1_zjd_eeg_data_14_27.csv,1,zjd,1
session_1_ly_eeg_data_6_29.csv,1,ly,0
session_1_whh_eeg_data_5_3.csv,1,whh,2
session_1_ldy_eeg_data_8_27.csv,1,ldy,1
session_1_hql_eeg_data_12_0.csv,1,hql,1
session_1_cz_eeg_data_21_17.csv,1,cz,0
session_1_ly_eeg_data_14_27.csv,1,ly,1
session_1_mhw_eeg_data_1_4.csv,1,mhw,1
session_1_wq_eeg_data_4_14.csv,1,wq,0
session_1_ha_eeg_data_15_56.csv,1,ha,2
session_1_ldy_eeg_data_6_6.csv,1,ldy,0
session_1_ly_eeg_data_14_33.csv,1,ly,1
session_1_ha_eeg_data_15_42.csv,1,ha,2
session_1_ldy_eeg_data_1_17.csv,1,ldy,1
session_1_zjd_eeg_data_13_12.csv,1,zjd,1
session_1_ly_eeg_data_8_38.csv,1,ly,1
session_1_ly_eeg_data_6_15.csv,1,ly,0
session_1_mhw_eeg_data_21_12.csv,1,mhw,0
session_1_cz_eeg_data_12_7.csv,1,cz,1
session_1_wll_eeg_data_18_7.csv,1,wll,2
session_1_hql_eeg_data_5_4.csv,1,hql,2
session_1_ldy_eeg_data_23_15.csv,1,ldy,0
session_1_ldy_eeg_data_8_33.csv,1,ldy,1
session_1_qyt_eeg_data_13_33.csv,1,qyt,1
session_1_ha_eeg_data_4_27.csv,1,ha,0
session_1_whh_eeg_data_6_18.csv,1,whh,0
session_1_zjy_eeg_data_23_32.csv,1,zjy,0
session_1_hql_eeg_data_14_39.csv,1,hql,1
session_1_mz_eeg_data_13_17.csv,1,mz,1
session_1_whh_eeg_data_8_35.csv,1,whh,1
session_1_tyc_eeg_data_22_12.csv,1,tyc,3
session_1_wll_eeg_data_9_20.csv,1,wll,0
session_1_rx_eeg_data_13_51.csv,1,rx,1
session_1_whh_eeg_data_1_11.csv,1,whh,1
session_1_hql_eeg_data_13_30.csv,1,hql,1
session_1_rx_eeg_data_5_12.csv,1,rx,2
